date,country,fuel_type,price_eur_per_litre
2005-01-03,AT,diesel,0.859
2005-01-03,AT,fuel_oil,0.21669999999999998
2005-01-03,AT,heating_oil,0.49522000000000005
2005-01-03,AT,petrol_95,0.916
2005-01-03,BE,diesel,0.891
2005-01-03,BE,fuel_oil,0.14806999999999998
2005-01-03,BE,lpg,0.404
2005-01-03,BE,petrol_95,1.0493299999999999
2005-01-03,CY,diesel,0.7239
2005-01-03,CY,petrol_95,0.75903
2005-01-03,CZ,diesel,0.83123
2005-01-03,CZ,fuel_oil,0.15928
2005-01-03,CZ,lpg,0.49824
2005-01-03,CZ,petrol_95,0.82797
2005-01-03,DE,diesel,0.976
2005-01-03,DE,fuel_oil,0.1686
2005-01-03,DE,lpg,0.5227999999999999
2005-01-03,DE,petrol_95,1.0923
2005-01-03,DK,diesel,0.9103
2005-01-03,DK,fuel_oil,0.51862
2005-01-03,DK,petrol_95,1.04476
2005-01-03,EE,diesel,0.7094199999999999
2005-01-03,EE,fuel_oil,0.11101000000000001
2005-01-03,EE,lpg,0.43460000000000004
2005-01-03,EE,petrol_95,0.67427
2005-01-03,ES,diesel,0.80784
2005-01-03,ES,fuel_oil,0.21613
2005-01-03,ES,lpg,0.53
2005-01-03,ES,petrol_95,0.84142
2005-01-03,EU,diesel,0.9364249972800387
2005-01-03,EU,fuel_oil,0.247562461873327
2005-01-03,EU,lpg,0.501777172908787
2005-01-03,EU,petrol_95,1.0418633459298325
2005-01-03,EUR,diesel,0.9140178870720888
2005-01-03,EUR,fuel_oil,0.2101562644225767
2005-01-03,EUR,lpg,0.53560278103225
2005-01-03,EUR,petrol_95,1.039704824488366
2005-01-03,FI,diesel,0.88661
2005-01-03,FI,fuel_oil,0.29644
2005-01-03,FI,petrol_95,1.112
2005-01-03,FR,diesel,0.92343
2005-01-03,FR,fuel_oil,0.17967
2005-01-03,FR,lpg,0.61665
2005-01-03,FR,petrol_95,1.0151000000000001
2005-01-03,GR,diesel,0.756
2005-01-03,GR,fuel_oil,0.20177
2005-01-03,GR,petrol_95,0.749
2005-01-03,HU,diesel,0.96482
2005-01-03,HU,fuel_oil,0.21502000000000002
2005-01-03,HU,lpg,0.59917
2005-01-03,HU,petrol_95,0.9490599999999999
2005-01-03,IE,diesel,0.975
2005-01-03,IE,fuel_oil,0.25231
2005-01-03,IE,petrol_95,1.009
2005-01-03,IT,diesel,1.01828
2005-01-03,IT,fuel_oil,0.22952
2005-01-03,IT,lpg,0.5525
2005-01-03,IT,petrol_95,1.11575
2005-01-03,LT,diesel,0.69741
2005-01-03,LT,fuel_oil,0.22416999999999998
2005-01-03,LT,lpg,0.43009
2005-01-03,LT,petrol_95,0.69914
2005-01-03,LU,diesel,0.724
2005-01-03,LU,fuel_oil,0.17259
2005-01-03,LU,lpg,0.407
2005-01-03,LU,petrol_95,0.877
2005-01-03,LV,diesel,0.7021799999999999
2005-01-03,LV,lpg,0.41499
2005-01-03,LV,petrol_95,0.71654
2005-01-03,MT,diesel,0.82662
2005-01-03,MT,fuel_oil,0.17463
2005-01-03,MT,petrol_95,0.86346
2005-01-03,NL,diesel,0.905
2005-01-03,NL,fuel_oil,0.213
2005-01-03,NL,lpg,0.484
2005-01-03,NL,petrol_95,1.193
2005-01-03,PL,diesel,0.8422000000000001
2005-01-03,PL,fuel_oil,0.18026
2005-01-03,PL,lpg,0.47726
2005-01-03,PL,petrol_95,0.8785
2005-01-03,PT,diesel,0.85868
2005-01-03,PT,fuel_oil,0.23527
2005-01-03,PT,lpg,0.53
2005-01-03,PT,petrol_95,1.00799
2005-01-03,SE,diesel,1.00715
2005-01-03,SE,fuel_oil,0.5782200000000001
2005-01-03,SE,petrol_95,1.06954
2005-01-03,SI,diesel,0.81575
2005-01-03,SI,fuel_oil,0.25309
2005-01-03,SI,lpg,0.5438999999999999
2005-01-03,SI,petrol_95,0.8203400000000001
2005-01-03,SK,diesel,0.9010499999999999
2005-01-03,SK,fuel_oil,0.19402
2005-01-03,SK,lpg,0.51947
2005-01-03,SK,petrol_95,0.855
2005-01-03,UK,diesel,1.2035799999999999
2005-01-03,UK,fuel_oil,0.22179
2005-01-03,UK,petrol_95,1.1476199999999999
2005-01-10,AT,diesel,0.851
2005-01-10,AT,fuel_oil,0.21669999999999998
2005-01-10,AT,heating_oil,0.48324
2005-01-10,AT,petrol_95,0.907
2005-01-10,BE,diesel,0.853
2005-01-10,BE,fuel_oil,0.15475
2005-01-10,BE,lpg,0.389
2005-01-10,BE,petrol_95,1.01033
2005-01-10,CY,diesel,0.72278
2005-01-10,CY,petrol_95,0.75786
2005-01-10,CZ,diesel,0.82566
2005-01-10,CZ,fuel_oil,0.15966
2005-01-10,CZ,lpg,0.49754000000000004
2005-01-10,CZ,petrol_95,0.81845
2005-01-10,DE,diesel,0.97
2005-01-10,DE,fuel_oil,0.17
2005-01-10,DE,lpg,0.5262
2005-01-10,DE,petrol_95,1.085
2005-01-10,DK,diesel,0.89781
2005-01-10,DK,fuel_oil,0.51705
2005-01-10,DK,petrol_95,1.0873199999999998
2005-01-10,EE,diesel,0.7094199999999999
2005-01-10,EE,fuel_oil,0.11101000000000001
2005-01-10,EE,lpg,0.43460000000000004
2005-01-10,EE,petrol_95,0.67427
2005-01-10,ES,diesel,0.80747
2005-01-10,ES,fuel_oil,0.19356
2005-01-10,ES,lpg,0.53
2005-01-10,ES,petrol_95,0.8406
2005-01-10,EU,diesel,0.9306321595464301
2005-01-10,EU,fuel_oil,0.24819370399034693
2005-01-10,EU,lpg,0.4961957202214876
2005-01-10,EU,petrol_95,1.0383581403156592
2005-01-10,EUR,diesel,0.9070022256657597
2005-01-10,EUR,fuel_oil,0.20864734860743758
2005-01-10,EUR,lpg,0.531625604982426
2005-01-10,EUR,petrol_95,1.03372490454455
2005-01-10,FI,diesel,0.87736
2005-01-10,FI,fuel_oil,0.29644
2005-01-10,FI,petrol_95,1.1342
2005-01-10,FR,diesel,0.91825
2005-01-10,FR,fuel_oil,0.18696000000000002
2005-01-10,FR,lpg,0.6165900000000001
2005-01-10,FR,petrol_95,1.02762
2005-01-10,GR,diesel,0.758
2005-01-10,GR,fuel_oil,0.20187
